Venue type,Media owner,Screen ID,Unit ID,Screen name,Screen latitude,Screen longitude,Screen width (px),Screen height (px),Physical screen count,Dimensions (W x H),Aspect ratio,Orientation,Site name,Site location (city),Site region (state),Spot length,Allowed languages,Allow Image,Allow Video,Zip code,Country
Outdoor > Bus Shelters,Asiaray HK,KMB_DP_001bf0141e17,21048004,Tsim Sha Tsui - K005 Pedestrian Side,22.300675,114.172314,1080,1920,1,1080x1920,09:16,NA,Tsim Sha Tsui - K005,Yau Tsim Mong,Kowloon,15,All / Universal,1,1,NA,Hong Kong
Outdoor > Bus Shelters,Asiaray HK,KMB_DP_001bf0142163,21048005,Tsim Sha Tsui - K005 Traffic Side,22.300675,114.172314,1080,1920,1,1080x1920,09:16,NA,Tsim Sha Tsui - K005,Yau Tsim Mong,Kowloon,15,All / Universal,1,1,NA,Hong Kong
Outdoor > Bus Shelters,Asiaray HK,KMB_DP_001bf01422d0,21048006,Jordan - K021 Pedestrian Side,22.30696,114.172416,1080,1920,1,1080x1920,09:16,NA,Jordan - K021,Yau Tsim Mong,Kowloon,15,All / Universal,1,1,NA,Hong Kong
Outdoor > Bus Shelters,Asiaray HK,KMB_DP_S2_K054_P,21048008,Wong Tai Sin - K054 Pedestrian Side,22.341644,114.194665,1080,1920,1,1080x1920,09:16,NA,Wong Tai Sin - K054,Wong Tai Sin,Kowloon,15,All / Universal,1,1,NA,Hong Kong
Outdoor > Bus Shelters,Asiaray HK,KMB_DP_S2_K054_T,21048009,Wong Tai Sin - K054 Traffic Side,22.341644,114.194665,1080,1920,1,1080x1920,09:16,NA,Wong Tai Sin - K054,Wong Tai Sin,Kowloon,15,All / Universal,1,1,NA,Hong Kong
Outdoor > Bus Shelters,Asiaray HK,KMB_DP_S2_K066_P,21585017,Tuen Mun - K066 Pedestrian Side,22.394387,113.973145,1080,1920,1,1080x1920,09:16,NA,Tuen Mun - K066,Tuen Mun,New Territories,15,All / Universal,1,1,NA,Hong Kong
Outdoor > Bus Shelters,Asiaray HK,KMB_DP_S2_K066_T,21585018,Tuen Mun - K066 Traffic Side,22.394387,113.973145,1080,1920,1,1080x1920,09:16,NA,Tuen Mun - K066,Tuen Mun,New Territories,15,All / Universal,1,1,NA,Hong Kong
Outdoor > Bus Shelters,Asiaray HK,KMB_DP_S2_K074_P,21048012,Kowloon Bay - K074 Pedestrian Side,22.322493,114.208065,1080,1920,1,1080x1920,09:16,NA,Kowloon Bay - K074,Kwun Tong,Kowloon,15,All / Universal,1,1,NA,Hong Kong
Outdoor > Bus Shelters,Asiaray HK,KMB_DP_S2_K074_T,21048013,Kowloon Bay - K074 Traffic Side,22.322493,114.208065,1080,1920,1,1080x1920,09:16,NA,Kowloon Bay - K074,Kwun Tong,Kowloon,15,All / Universal,1,1,NA,Hong Kong
Outdoor > Bus Shelters,Asiaray HK,KMB_DP_001bf0141e10,21048015,Mong Kok - K076 Traffic Side,22.319674,114.170943,1080,1920,1,1080x1920,09:16,NA,Mong Kok - K076,Yau Tsim Mong,Kowloon,15,All / Universal,1,1,NA,Hong Kong
Outdoor > Bus Shelters,Asiaray HK,KMB_DP_001bf0134cdb,21048016,Tsim Sha Tsui - K080 Pedestrian Side,22.298905,114.17202,1080,1920,1,1080x1920,09:16,NA,Tsim Sha Tsui - K080,Yau Tsim Mong,Kowloon,15,All / Universal,1,1,NA,Hong Kong
Outdoor > Bus Shelters,Asiaray HK,KMB_DP_001bf0134d5d,21048017,Tsim Sha Tsui - K080 Traffic Side,22.298905,114.17202,1080,1920,1,1080x1920,09:16,NA,Tsim Sha Tsui - K080,Yau Tsim Mong,Kowloon,15,All / Universal,1,1,NA,Hong Kong
Outdoor > Bus Shelters,Asiaray HK,KMB_DP_001bf0142123,21048018,Prince Edward - K084 Pedestrian Side,22.323583,114.168542,1080,1920,1,1080x1920,09:16,NA,Prince Edward - K084,Yau Tsim Mong,Kowloon,15,All / Universal,1,1,NA,Hong Kong
Outdoor > Bus Shelters,Asiaray HK,KMB_DP_001bf0141e0c,21048019,Prince Edward - K084 Traffic Side,22.323583,114.168542,1080,1920,1,1080x1920,09:16,NA,Prince Edward - K084,Yau Tsim Mong,Kowloon,15,All / Universal,1,1,NA,Hong Kong
Outdoor > Bus Shelters,Asiaray HK,KMB_DP_S2_K089_P,21048020,Mong Kok - K089 Pedestrian Side,22.317878,114.169719,1080,1920,1,1080x1920,09:16,NA,Mong Kok - K089,Yau Tsim Mong,Kowloon,15,All / Universal,1,1,NA,Hong Kong
Outdoor > Bus Shelters,Asiaray HK,KMB_DP_S2_K089_T,21048021,Mong Kok - K089 Traffic Side,22.317878,114.169719,1080,1920,1,1080x1920,09:16,NA,Mong Kok - K089,Yau Tsim Mong,Kowloon,15,All / Universal,1,1,NA,Hong Kong
Outdoor > Bus Shelters,Asiaray HK,KMB_DP_S2_K093_P,21048022,Yau Ma Tei - K093 - Pedestrian Side,22.309684,114.171143,1080,1920,1,1080x1920,09:16,NA,Yau Ma Tei - K093,Yau Tsim Mong,Kowloon,15,All / Universal,1,1,NA,Hong Kong
Outdoor > Bus Shelters,Asiaray HK,KMB_DP_S2_K093_T,21048023,Yau Ma Tei - K093 - Traffic Side,22.309684,114.171143,1080,1920,1,1080x1920,09:16,NA,Yau Ma Tei - K093,Yau Tsim Mong,Kowloon,15,All / Universal,1,1,NA,Hong Kong
Outdoor > Bus Shelters,Asiaray HK,KMB_DP_S2_K1064_P,21048024,Cheung Sha Wan - K1064 - Pedestrian Side,22.338136,114.148197,1080,1920,1,1080x1920,09:16,NA,Cheung Sha Wan - K1064,Sham Shui Po,Kowloon,15,All / Universal,1,1,NA,Hong Kong
Outdoor > Bus Shelters,Asiaray HK,KMB_DP_S2_K1064_T,21048025,Cheung Sha Wan - K1064 - Traffic Side,22.338136,114.148197,1080,1920,1,1080x1920,09:16,NA,Cheung Sha Wan - K1064,Sham Shui Po,Kowloon,15,All / Universal,1,1,NA,Hong Kong
Outdoor > Bus Shelters,Asiaray HK,KMB_DP_S2_K112_P,21585031,Yuen Long - K112 Pedestrian Side,22.444592,114.028215,1080,1920,1,1080x1920,09:16,NA,Yuen Long - K112,Yuen Long,New Territories,15,All / Universal,1,1,NA,Hong Kong
Outdoor > Bus Shelters,Asiaray HK,KMB_DP_S2_K112_T,21585032,Yuen Long - K112 Traffic Side,22.444592,114.028215,1080,1920,1,1080x1920,09:16,NA,Yuen Long - K112,Yuen Long,New Territories,15,All / Universal,1,1,NA,Hong Kong
Outdoor > Bus Shelters,Asiaray HK,KMB_DP_S2_K149_P,21048026,Shatin - K149 - Pedestrian Side,22.382128,114.19007,1080,1920,1,1080x1920,09:16,NA,Shatin - K149,Sha Tin,New Territories,15,All / Universal,1,1,NA,Hong Kong
Outdoor > Bus Shelters,Asiaray HK,KMB_DP_S2_K149_T,21048027,Shatin - K149 - Traffic Side,22.382128,114.19007,1080,1920,1,1080x1920,09:16,NA,Shatin - K149,Sha Tin,New Territories,15,All / Universal,1,1,NA,Hong Kong
